MAMMALIA – СИСАРИ,,,,
"",Picus viridis,Зелена жуна,1-II,
"PODICIPEDIFORMES(ГЊУРЦИ)","Podicipedidae(гњурци)",Podiceps auritus,Ушати гњурац,1-II; 2-II; 5-I
"",Podiceps cristatus,Ћубасти гњурац,1-III,
"",Podiceps griseigena,Риђоврати гњурац,1-II; 2-II,
"",Podiceps nigricollis,Црноврати гњурац,1-II,
"",Tachybaptus ruficollis,Мали гњурац,1-II,
"STRIGIFORMES(СОВЕ)","Strigidae(сове)",Asio flammeus,Ритска сова,1-II; 3-II; 5-I
"",Asio otus,Утина,1-II; 3-II,
"",Athene noctua,Кукумавка,1-II; 3-II,
"",Bubo bubo,Буљина,1-II; 3-II; 5-I,
"",Glaucidium passerinum,Мала сова,1-II; 3-II; 5-I,
"",Otus scops,Ћук,1-II; 3-II,
"",Strix aluco,Шумска сова,1-II; 3-II,
"",Strix uralensis,Дугорепа сова,1-II; 3-II; 5-I,
"",Tyto alba,Кукувија,1-II; 3-II,
"",Aegolius funereus,Гаћаста кукумавка,1-II; 3-II; 5-I,
REPTILIA – ГМИЗАВЦИ,,,,
РЕД,ПОРОДИЦА,"ВРСТАНаучни назив","ВРСТАСрпски назив",НАПОМЕНА
"TESTUDINES(КОРЊАЧЕ)","Testudinidae(копнене корњаче)",Testudo graeca,Грчка корњача,"1-II, Рез  6; 3-II; 4-II/IV"
"","Emydidae(барске корњаче)",Emys orbicularis,Барска корњача,"1-II, Рез  6"
"SQUAMATA(ЉУСКАШИ)","Gekkonidae(гекони)",Cyrtopodion kotschyi,Кочијев гекон,1-II; 4-IV
"Lacertidae(прави гуштери)",Algyroides nigropunctatus,Љускави гуштер,1-II,
Darevskia praticola,Шумски гуштер,,,
Zootoca vivipara,Планински гуштер,,,
Podarcis erhardii,Македонски гуштер,,,
Podarcis tauricus,Степски гуштер,,,
Ablepharus kitaibelii,Кратконоги гуштер,1-II; 4-IV,,
"Colubridae(смукови)",Platyceps najadum,Шилац,1-II; 4-IV,
Dolichophis caspius,Степски смук,4-IV,,
Elaphe quatuorlineata,Четворопруги смук,"1-II, Рез  6; 4-II/IV",,
Zamenis longissimus,Обични смук,1-II; 4-IV,,
Coronella austriaca,Смукуља,1-II; 4-IV,,
Natrix natrix,Белоушка,,,
Natrix tessellata,Рибарица,1-II; 4-IV,,
"Viperidae(љутице)",Vipera berus,Шарка,,
Vipera ursinii,Планински шарган,,,
AMPHIBIA – ВОДОЗЕМЦИ,,,,
РЕД,ПОРОДИЦА,"ВРСТАНаучни назив","ВРСТАСрпски назив",НАПОМЕНА
"URODELA(РЕПАТИ ВОДОЗЕМЦИ)","Salamandridae(даждевњаци имрмољци)",Salamandra atra,Црни даждевњак,1-II
"",,Salamandra salamandra,Шарени даждевњак,
"",,Lissotriton vulgaris,Мали мрмољак,
"",,Mesotriton alpestris,Планински мрмољак,
"",,Triturus cristatus,Велики мрмољак,"1-II, Рез  6; 4-IV"
"",,Triturus dobrogicus,Подунавски мрмољак,"1-II, Рез  6"
"",,Triturus carnifex,Главати мрмољак,"1-II, Рез  6; 4-IV"
"",,Triturus karelinii,Дугоноги мрмољак,"1-II, Рез  6; 4-IV"
"ANURA(БЕЗРЕПИ ВОДОЗЕМЦИ)","Bombinatoridae(мукачи)",Bombina bombina,Црвенотрби мукач,"1-II, Рез  6; 4-II/IV"
